id;text;label;score;lan;domain
2539;আসবে দুটো মাস অপেক্ষা করুন;1;0;BN;funny_video
2541;ButtFiXx your videos are awesome. Keep up the good work! Hoping for a new video soon.;1;1;EN;funny_video
2553;how much weed you have smoked before making the guys are so made my day;2;-1;EN;funny_video
2554;heavy informativce r prottekt i compare kora;1;1;EN;funny_video
2555;lsd is great;1;1;EN;funny_video
2556;JOSSS!!! HOISE BHAI;2;1;RN;funny_video
2571;subscribe na kore parlam;1;1;RN;funny_video
2571;subscribe na kore parlam;1;0;RN;funny_video
2574;Dude, you are extremely talented. The way you've included all those references, couldn't have been better. "we're not worthy!";2;2;EN;funny_video
2575;thanks, its been reported. thanks for the support (Y);2;1;EN;funny_video
2577;Waiting for more videos :D :D;1;1;EN;funny_video
2577;Waiting for more videos :D :D;1;0;EN;funny_video
2579;Alas na alis in wonderland;1;0;RN;funny_video
2581;need more cinemaal videos. great job bro.;2;1;EN;funny_video
2586;awsm;1;1;RN;funny_video
2587;what's your name Rahat really;2;-1;EN;funny_video
2587;what's your name Rahat really;2;0;EN;funny_video
2588;Bro. just;1;0;EN;funny_video
2590;আপনার ভিজুয়াল top notch।আপনার কন্টেন্ট বাংলা YouTubing এ YouTube এর টপ চ্যানেল গুলোর প্রিমিয়াম স্ট্যান্ডার্ড আনলো।চালিয়ে যান।;2;1;BN;funny_video
2591;u rock ma;2;2;RN;funny_video
2591;u rock ma;1;1;RN;funny_video
2592;too good editing and concept;1;1;EN;funny_video
2595;can't stop laughing. Good job guys. Carry on.;1;1;EN;funny_video
2601;osthir er thakao osthir;2;2;RN;funny_video
2603;নতুন ভিডিও চাই;2;1;BN;funny_video
2607;make the Cinemaal of vampire;2;0;EN;funny_video
2608;pinic party;1;0;EN;funny_video
2610;Brief case niye etoki6u bolar somoy e mone ho66ilo Pulp Fiction er ekbar ullekh hoya video dada!!;1;0;RN;funny_video
2615;কিরে ভাই নতুন ভিডিও;2;0;BN;funny_video
2629;kire EP 5 koi?;1;0;RN;funny_video
2633;this time you tried too hard mate;2;0;EN;funny_video
2636;awesome video bro!;2;2;EN;funny_video
2637;pinik;1;1;RN;funny_video
2642;Wicked !;2;-1;EN;funny_video
2644;gopro hero camera analysis was simply a masterpiece;1;1;EN;funny_video
2644;gopro hero camera analysis was simply a masterpiece;2;2;EN;funny_video
2645;seriouslly loved ur lines :D bcs question paper :v;1;1;EN;funny_video
2646;hahahahahaha :v khushi k ansu ari h 3:);1;1;RN;funny_video
2647;rahat vhai onek din holo new kichu hocchena;1;0;RN;funny_video
2653;অসাধারন ভাই।আপনি ব্রিলিয়ান্ট,টেলেন্টেড।বস।;2;2;BN;funny_video
2653;অসাধারন ভাই।আপনি ব্রিলিয়ান্ট,টেলেন্টেড।বস।;1;1;BN;funny_video
2655;Amr life e dekha osthir ekta vide;1;1;RN;funny_video
2658;the undertaker এর পার্ট গুলা জোস ছিল;2;1;BN;funny_video
2660;totally worth the long wait :D;2;2;EN;funny_video
2670;kalo bonduk all the way :V;1;-1;RN;funny_video
2676;সিনেমাল আর নেই কেন?;1;0;RN;funny_video
2678;If this guy ever becomes another পিছলা ত্যানা প্যাঁচানো comedy that would be a really sad day. Talk about classy comedy! <3;1;-1;RN;funny_video
2682;Epic;1;1;EN;funny_video
2686;channel that is one of a kind. love your works brother. keep it up. ❤;1;1;RN;funny_video
2691;This is more entertaining than "Honest Trailers". Very nice guys. Keep it up! You all are gifted.;1;1;RN;funny_video
2692;ha ha ha maira lah ki dekhlam;2;1;RN;funny_video
2699;পরের ভিডিও কবে আসবে।।।।;1;0;RN;funny_video
2702;I lost it all on LSD গোলানো hesh brownie!!! LMFAO!!!;2;-1;RN;funny_video
2705;Put yo' hands up :D;2;0;RN;funny_video
2705;Put yo' hands up :D;2;0;RN;funny_video
2705;Put yo' hands up :D;1;0;RN;funny_video
2709;ভাই চরম চরম চরম আপনার অসাধারণ টেলেন্ট।;2;2;RN;funny_video
2709;ভাই চরম চরম চরম আপনার অসাধারণ টেলেন্ট।;1;1;RN;funny_video
2711;Just aewsome bro;1;1;EN;funny_video
2718;ButtFiXx more upload please;2;0;RN;funny_video
2721;keep it up bro you are the best!! lol;1;1;RN;funny_video
2723;Osthir video.;1;1;RN;funny_video
2723;Osthir video.;1;1;RN;funny_video
2729;একটু নেচে গেয়ে আমার মনটা চাঙা করে দাও না!;1;1;BN;funny_video
2731;bhai jossssssssss;2;1;RN;funny_video
2735;vai video osthir but download krte gele hoyna kn?;1;0;RN;funny_video
2737;besi josss :D;2;2;RN;funny_video
2739;"বাচ্চা হবে না, বাচ্চা হবে না, বাচ্চা হবে না!" er chaite dudu ta best hoise;1;-1;RN;funny_video
2744;Adnan Ahmed Khan আমার নাম zunaed;1;0;BN;funny_video
2751;josss chiloo!!!!;1;1;RN;funny_video
2771;2:17 er Put Your Hands Up song ta kaar, keu bolte parben???;1;0;RN;funny_video
2774;eita best ! bro "gaaaaaaay" bole je cartoon tay oitar naam ki ?;1;1;RN;funny_video
2778;how you guys do these things so perfectly????;1;1;EN;funny_video
2779;epic ever;2;1;EN;funny_video
2790;waiting for that " বাচ্চা হবে না , বাচ্চা হবে না ";1;0;BN;funny_video
2797;65 dislikes???buttfix u got some butthurts its we want more;2;-1;EN;funny_video
2797;65 dislikes???buttfix u got some butthurts its we want more;1;-1;EN;funny_video
2800;new vdo koi vaiyaa ??;1;0;RN;funny_video
2803;বাচ্চা হবেনা মিস করলাম। বাট সেই হইছে।;2;1;BN;funny_video
2804;you are a great parodian. we want more.;2;1;EN;funny_video
2808;ভাই আপনি থামেন।হাসতে হাসতে পেট বেথা হয়ে গেছে।;2;1;BN;funny_video
2808;ভাই আপনি থামেন।হাসতে হাসতে পেট বেথা হয়ে গেছে।;2;1;BN;funny_video
2815;Your best effort up until all of your videos are full of wishes to you and your channel.;2;2;EN;funny_video
2818;just awesome;2;1;EN;funny_video
2825;ha ah ha hah ah;2;1;RN;funny_video
2827;রাহাত ভাই। একদম শুরু থেকে আপনার চ্যানেল ফলো করছি। আপনি শুধু বাংলাদেশের একমাত্র অরিজিনাল ইউটুবার না, এপনি একজন তুখোড় মাল :');2;2;BN;funny_video
2831;Hero Bappi :p;1;1;EN;funny_video
2840;হা :D;2;1;RN;funny_video
2852;Rahat bhai ek khan jinish;1;1;RN;funny_video
2860;Ai chobi gulo ki kore karur bhalo lagte pare, comment gulo pore bhabchi, ar dhore nilam bhalo lage, kintu tara Youtube e ki korche :P ashadharon Chaliye Jao;1;1;RN;funny_video
2860;Ai chobi gulo ki kore karur bhalo lagte pare, comment gulo pore bhabchi, ar dhore nilam bhalo lage, kintu tara Youtube e ki korche :P ashadharon Chaliye Jao;2;1;RN;funny_video
2863;Jole agun jole re;2;0;RN;funny_video
2865;Munem Shahariar ভাইয়া শিট না চুদাইয়া শাকিব খান এর ছবি নিয়া ট্রল চুদান;1;-1;BN;funny_video
2867;Litu Khan তোর তো বাচ্চা হবে হবে হবে না;1;-1;BN;funny_video
2874;too much hats of creator;2;2;EN;funny_video
2876;funny;1;1;EN;funny_video
2877;খুবই গবেষণালব্ধ ভিডিও, খুবই উপভোগ্য =) শুভকামনা রইল পরবর্তী কাজের জন্য।;1;1;BN;funny_video
2880;কাচি দিয়া জিপলাইন বানাইছে;1;0;BN;funny_video
2885;valo laglo;2;1;RN;funny_video
2887;purie ostir bro. u r the best content creator as bangladesh youtuber;1;1;EN;funny_video
2889;কি ছিলো এইডা;1;-1;BN;funny_video
2892;lol at that 2pm song;2;-1;EN;funny_video
2901;you just outdo yourself keep it up XD;1;1;EN;funny_video
2903;The effort you guys give to make this for us to enjoy is unbelievable of it going brother (Y);1;1;EN;funny_video
2903;The effort you guys give to make this for us to enjoy is unbelievable of it going brother (Y);1;1;EN;funny_video
2905;xoss lagce aro cai;2;1;RN;funny_video
2910;fatafati osadharon;1;1;RN;funny_video
2911;6:31 best;2;1;EN;funny_video
2915;বায়ূচুম্বন;1;1;BN;funny_video
2918;u made mah mood :3;2;1;EN;funny_video
2922;accha jolatonko je trailer ta disilen otar ki hlo?;2;0;RN;funny_video
2923;ki howar kotha? :/;2;0;RN;funny_video
2927;46 Ta Ora ki expect kortese ???;2;-1;RN;funny_video
2927;46 Ta Ora ki expect kortese ???;2;-1;RN;funny_video
2927;46 Ta Ora ki expect kortese ???;2;0;RN;funny_video
2931;আশা করি ওই সময় টায় সবাই চোখ বন্ধ করে দেখেন তাহলে বুঝতে পারবেন আসলে রহস্য টা কি ছিলো,,;2;0;BN;funny_video
2940;একের অধিক ব্যাক্তি নেই। একজনই আছেন। ধন্যবাদ শুভ কামনার জন্য, চেষ্টা চলবে :);1;1;BN;funny_video
2944;TheRabi1234 does spelling mistakes a joke? Jokers of the decade!;1;-1;EN;funny_video
2950;Tanbin Islam Siyam lad check out my picture! then talk with me. i dont laugh at;1;-1;RN;funny_video
2951;Done, I saw a random dude from internet.;2;0;EN;funny_video
2957;josssss bro;1;1;EN;funny_video
2957;josssss bro;2;1;EN;funny_video
2965;Be more active bro.;1;0;EN;funny_video
2970;Shams Tasnuva the song is by a Kpop group called 2PM and the song is called Hands up :);2;1;EN;funny_video
2975;Anyone notice anything? XD;2;0;EN;funny_video
2979;do the movie- Hingsha;2;0;EN;funny_video
2980;Love this crap, gonna make this crap great again!;1;1;EN;funny_video
2989;plz vai give us a new video wait;2;0;EN;funny_video
2989;plz vai give us a new video wait;1;0;EN;funny_video
2993;Best!!!!!!;1;1;EN;funny_video
2997;2:16!! i laughed my ass off!!!! hilarious!!! xD;2;1;EN;funny_video
3003;Kalo;1;-1;RN;funny_video
3005;Bro, nice;1;1;EN;funny_video
3007;2 good;2;2;EN;funny_video
3007;2 good;1;1;EN;funny_video
3011;& Your videos are hilarious!;1;1;EN;funny_video
3026;i didnt understand the bangali but still i love ur video and die laughing;1;1;EN;funny_video
3028;পুরাই পিনিক পাইলাম;2;1;BN;funny_video
3034;that was really good.;2;2;RN;funny_video
3038;বরাবরের মতই অসাধার;1;1;BN;funny_video
3046;এতো লেট হইলো কেন ভাই?;2;-1;BN;funny_video
3050;ছিঃ,এভাবে অপমান নিজের দেশের ক্রিয়েটিভ পিউপিলকে,ছিঃ;1;-1;BN;funny_video
3051;creativity দিয়ে নিজের দেশকে তুলে ধরুন,বিশ্বের কাছে পরিচয় করিয়ে দিন দেশকে নতুন ভাবে।আর আপনারা কি আসলেই বাংলাদেশের??সন্দেহ হয়;1;-1;BN;funny_video
3051;creativity দিয়ে নিজের দেশকে তুলে ধরুন,বিশ্বের কাছে পরিচয় করিয়ে দিন দেশকে নতুন ভাবে।আর আপনারা কি আসলেই বাংলাদেশের??সন্দেহ হয়;1;-1;BN;funny_video
3051;creativity দিয়ে নিজের দেশকে তুলে ধরুন,বিশ্বের কাছে পরিচয় করিয়ে দিন দেশকে নতুন ভাবে।আর আপনারা কি আসলেই বাংলাদেশের??সন্দেহ হয়;1;-1;BN;funny_video
3054;BEST !!!;1;1;EN;funny_video
3062;stunning;1;1;EN;funny_video
3067;omg! অন্নেক মজা পাইলাম ভাই;1;1;BN;funny_video
3068;matha noshto !! how vai how !! kmne paren !! :D;1;1;EN;funny_video
3069;Cinemaal is back aagain!;2;0;RN;funny_video
3069;Cinemaal is back aagain!;2;0;RN;funny_video
3070;Yeah!!! ButtFixx is back!;2;-1;EN;funny_video
3070;Yeah!!! ButtFixx is back!;2;1;EN;funny_video
3071;রাহাত ভাই, আপনার এই ইউটিউব লিংকটি BCS এর exam page এ দিয়ে দিলাম। এবং title দিলাম;2;0;BN;funny_video
3072;বিসিএস প্রশ্ন কিভাবে ফাঁস হয় আপনারা নিজেরাই মনোযোগ সহকারে ভিডিও টির শেষ না হওয়া পর্যন্ত দেখেন। সবার জন্য বিসিএস এর শুভকামনা রইল;1;1;BN;funny_video
3073;ভাই আমি আপনাকে আমার এফবি id (black hole) থেকে ADD সেন্ড করছি। kindly accept করে আমি আপনার একজন ভক্ত। ভাল থাকবেন। আপনার জন্য শুভ কামনা রইল।;1;1;BN;funny_video
3085;"Bangla Talkies name ki song er
";2;0;RN;funny_video
3086;"Bangla Talkies Jaihok onek Joss hoise. Suvo noboborso
";1;1;RN;funny_video
3097;"Song name Bhayank Aatma
";1;0;RN;funny_video
3105;"koi nai to
";1;0;RN;funny_video
3110;"shesher music tar nam ki
";2;0;RN;funny_video
3112;"Bangla Talkies Nice video
";1;1;EN;funny_video
3113;"vai aita ki muvei thaka copyrights korsan please bolbsan?
";1;0;RN;funny_video
3115;"Bangla Talkies apni kon desher ta jos hoise
";1;1;RN;funny_video
3124;"Bangla Talkies coc ta ekta video banan
";1;0;EN;funny_video
3130;"Bangla Talkies joss video shuvo noboborso
";1;1;EN;funny_video
3135;"Tamim Islam same to you too
";2;0;EN;funny_video
3143;"Plz watch this funny meme
";1;0;EN;funny_video
3149;"movie tar name ki?
";2;0;RN;funny_video
3153;"Make dub with famous song please
";2;0;EN;funny_video
3155;"Bhai last er music ta ki nam ta
";1;0;RN;funny_video
3155;"Bhai last er music ta ki nam ta
";1;0;RN;funny_video
3155;"Bhai last er music ta ki nam ta
";1;0;RN;funny_video
3157;"Like na dia parlamna
";1;1;RN;funny_video
3161;"If anyone want special video editing app check out my chanel and subscribe to my chanel
";2;0;EN;funny_video
3162;"Hey bangla talkis push my chanel up please
";1;0;EN;funny_video
3164;"Moja paise
";2;1;RN;funny_video
3164;"Moja paise
";2;1;RN;funny_video
3165;"jos
";2;1;RN;funny_video
3165;"jos
";2;1;RN;funny_video
3165;"jos
";2;1;RN;funny_video
3180;"ভাল লাগে নাই
";1;-1;BN;funny_video
3188;"Osthir Hoise man!! You guys are always hit!!! :)
";1;1;EN;funny_video
3188;"Osthir Hoise man!! You guys are always hit!!! :)
";1;1;EN;funny_video
3199;"dislike dilam 😊
";2;-1;RN;funny_video
3199;"dislike dilam 😊
";1;1;RN;funny_video
3201;"CID er r Part ki hbee. 😎😎
";1;0;RN;funny_video
3218;"মুভি টার নাম বলতে পারেন কেউ?
";2;0;BN;funny_video
3218;"মুভি টার নাম বলতে পারেন কেউ?
";2;0;BN;funny_video
3219;"besi valo lage
";2;2;RN;funny_video
3229;"best
";2;1;EN;funny_video
3236;"guys plz subscribe to me It will be so kind
";2;0;EN;funny_video
3242;"Vai crime pretrol nie anti video banan
";1;0;RN;funny_video
3243;"Accha bro song er name ta ki last e jeita disen?
";2;0;RN;funny_video
3244;"Smithson
";2;0;EN;funny_video
3245;"Hey bro , GTA 5 and GTA San Andreas neay dubbing banao please, please, please, please.
";1;0;EN;funny_video
3256;"Ato video dia ke korba akden to morei jaba
";1;0;RN;funny_video
3259;"IPL niye ekta video banan
";1;0;RN;funny_video
3259;"IPL niye ekta video banan
";2;0;RN;funny_video
3259;"IPL niye ekta video banan
";2;0;RN;funny_video
3259;"IPL niye ekta video banan
";1;0;RN;funny_video
3268;"Tomra awesome😘
";2;2;RN;funny_video
3270;"bro😉😉😉
";2;0;RN;funny_video
3275;"মজা পাইছি
";1;1;BN;funny_video
3277;"আমার চুলের ভিডিও হইছে।
";2;0;BN;funny_video
3278;"nich
";2;1;RN;funny_video
3279;"Joooooooss
";1;1;RN;funny_video
3281;"GOT er part 2 kobe asbe?🙈
";1;0;RN;funny_video
3281;"GOT er part 2 kobe asbe?🙈
";1;0;RN;funny_video
3286;"1day
";1;0;EN;funny_video
3291;" 😂
";1;1;RN;funny_video
3294;"My Name Is Also And I Really Loved It
";1;1;EN;funny_video
3299;"Chechra
";2;-1;RN;funny_video
3303;"vai video ta akto halka balo parten apnara luck
";2;-1;RN;funny_video
3303;"vai video ta akto halka balo parten apnara luck
";2;0;RN;funny_video
3304;"Kala Jahangir😂😂
";2;0;RN;funny_video
3309;"Vai video ta araktu Boro hole valo hoto. :*)-:):@:-! Choto hoese dekha boring lagse
";2;-1;RN;funny_video
3312;"ending ta kmn Jono Moja pialm nah
";1;-1;RN;funny_video
3314;"Video ta onk funny hoise
";2;1;EN;funny_video
3314;"Video ta onk funny hoise
";1;1;EN;funny_video
3320;"😂😂✌👌👏👏✌👏👏
";2;1;RN;funny_video
3321;"সবাইকে শুভ নবর্বষ কিন্তু আমার জ্ন্য অশুভ নবর্বষ 😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥😥
";1;-1;RN;funny_video
3323;"where the song
";2;0;EN;funny_video
3324;"kindey beche ilish ! hahahaha
";1;-1;RN;funny_video
3325;"movie tar name ki
";2;0;RN;funny_video
3327;"Outstanding Awesome Very good.
";1;1;EN;funny_video
3339;"ভালোবাসি আপনাদের
";2;1;BN;funny_video
3341;"Vai eta juice chilo Eta ruapja
";1;0;RN;funny_video
3343;"Kala jahangir nam ta shune Bangla vice cityr kotha mone porlo 😂😂😂
";1;-1;RN;funny_video
3344;"Guns of boom ke ke khelo? Amr clan ache.
";2;0;RN;funny_video
3347;"Amr channel a ki kno soridoyban bakti jabe
";1;0;RN;funny_video
3347;"Amr channel a ki kno soridoyban bakti jabe
";1;0;RN;funny_video
3347;"Amr channel a ki kno soridoyban bakti jabe
";1;0;RN;funny_video
3348;"Awesome video bro 😁😁😁
";1;1;RN;funny_video
3349;"vai tumader video gula vlo lage ar last jei music ta diso ooi tar nam
";1;1;RN;funny_video
3352;"টাকার'রে কালা জাহাঙ্গীর 😂😂😂😂😂
";1;-1;RN;funny_video
3356;"valo
";1;1;RN;funny_video
3357;"Movie tar name Aktu bolban vhiya
";1;0;EN;funny_video
3369;"Awsmmmm bhiiiiii
";1;1;RN;funny_video
3370;"নাইচ
";1;0;BN;funny_video
3374;"Bhai music ta
";1;1;RN;funny_video
3378;"Hahahha😂😂
";1;1;RN;funny_video
3380;"last er Sound track tar name ta ki kau bolte parben???
";2;0;RN;funny_video
3383;"ভালো হইছে ভাই
";1;1;BN;funny_video
3384;"Sadman bhai voice chara video dekte bhallage onek miss korta chi
";2;1;RN;funny_video
3384;"Sadman bhai voice chara video dekte bhallage onek miss korta chi
";1;1;RN;funny_video
3389;"Bangla talkies best sonar Bangladesh Bangla talkies ki sonar bangla karon Ami bangla talkies ke valo basi
";2;2;RN;funny_video
3393;"Shubho NOBOBORSHO
";2;1;RN;funny_video
3403;"josss
";1;1;EN;funny_video
3404;"Bangalee hoe ki hobe?EK DIN TO MOREI
";2;0;RN;funny_video
3405;"joxx boss😂😂😂
";1;1;RN;funny_video
3409;"jak valoi hoisa
";2;1;RN;funny_video
3412;"vai aita kon movie thake cut cilo plz janaben
";2;0;RN;funny_video
3415;"😁😁😁😁😁
";1;1;RN;funny_video
3418;"Video ending a song tar name ki?? Bolen plz
";1;1;EN;funny_video
3423;"moment😂😂
";2;0;RN;funny_video
3431;"কালা জাহাঙ্গীর।।। 😁😁😁😁😁😁
";1;1;RN;funny_video
3436;"Jonny Seins নিয়ে একটা ভিড়িও হপ্পে
";1;0;BN;funny_video
3442;"Vi এর video কি হবে Next a
";1;0;RN;funny_video
3450;"Last ar tune song tar name ki ?
";1;0;RN;funny_video
3450;"Last ar tune song tar name ki ?
";1;0;RN;funny_video
3458;"Bhai movie ter aasol nam ki?
";1;0;RN;funny_video
3461;"vai laste jei music ta download link ta plz dao
";1;0;EN;funny_video
3465;"Ekhon sadman bhai ke ar video te raken na kn?? Plz answer
";2;-1;RN;funny_video
3472;"yes bangla Talkies is a best channel
";2;1;EN;funny_video
3473;"Awesome
";1;1;EN;funny_video
3482;"Chorom😱😱
";1;1;RN;funny_video
3484;"😂😂👌👏
";1;1;RN;funny_video
3488;"Pohela boishakh hole banglar valentines day ☹️☹️
";1;-1;RN;funny_video
3488;"Pohela boishakh hole banglar valentines day ☹️☹️
";1;0;RN;funny_video
3489;"movie name ki?
";1;0;EN;funny_video
3498;"এই ভিডিও টা বাংলা নববর্ষের জন্য একেবারে উপযুক্ত
";1;1;BN;funny_video
3498;"এই ভিডিও টা বাংলা নববর্ষের জন্য একেবারে উপযুক্ত
";2;2;BN;funny_video
3501;"pohela boyshak noy, Allah er pote cholun
";2;0;RN;funny_video
3502;"Osam,,,vai
";2;1;RN;funny_video
3503;"শুভ নববর্ষ ♪♥♥ দারুন হয়েছে♥♥
";2;1;BN;funny_video
3506;"Rini Sikder Facebook I'd ta?
";1;0;RN;funny_video
3508;"Lol it is so funny
";2;1;EN;funny_video
3511;"Vaia Ami ajke Panta vat ar fried rice Duitai khaisi
";1;0;RN;funny_video
3511;"Vaia Ami ajke Panta vat ar fried rice Duitai khaisi
";2;0;RN;funny_video
3511;"Vaia Ami ajke Panta vat ar fried rice Duitai khaisi
";1;0;RN;funny_video
3518;"ভাই এই মুবির নাম কি?
";1;0;BN;funny_video
3518;"ভাই এই মুবির নাম কি?
";1;0;BN;funny_video
3520;"Last ER music tar keu link dibe
";2;0;RN;funny_video
3521;"Bnagladesh??!! Please correct
";1;1;RN;funny_video
3522;"Khub valo dada
";1;1;RN;funny_video
3530;"onek mojar
";2;1;RN;funny_video
3531;"ছেচরাঁ😜😜😜
";1;1;RN;funny_video
3534;"শুভ নববর্ষ 💙💙💚
";1;1;RN;funny_video
3536;"Agar video gulor moto oto ta jomlo na Asa korbo porer video ta abar jano jomjomat hoy
";1;-1;RN;funny_video
3548;"তোমার ফেসবুক আইডি টা কি ? - ছেছরা তোমার স্নেপ চেট আইডি টা কি ? -ছেছরা 😂 সার্চ দিয়ে দেখলাম তো কিন্তু তোমাকে তো পেলাম না ! - ছেছরা ! ( যে বলে সেই হয় ) 😝😝
";1;1;RN;funny_video
3551;"হা হা হা
";1;1;BN;funny_video
3555;"এততো ভাল হয়েছে যে মুখে প্রকাশ করতে
";2;2;BN;funny_video
3559;"moja পাইলাম😜😜
";2;1;RN;funny_video
3561;"iron man niya vidio koren plz
";2;0;RN;funny_video
3561;"iron man niya vidio koren plz
";1;0;RN;funny_video
3562;"অনেক ভালো হইসে ভাই
";1;1;BN;funny_video
3563;"বৈশাখ মাসে শীত?😂🔫
";1;-1;RN;funny_video
3564;"😂😂😂😂😂😂😂😂😂😂😂😂😂xoss hoice
";1;1;RN;funny_video
3568;"bro background music tar nam
";2;0;RN;funny_video
3570;"Apnar Facebook id ta ki? sob che sundor
";1;1;RN;funny_video
3573;"lol
";1;-1;EN;funny_video
3577;"Bhayank Atma
";1;-1;RN;funny_video
3589;"Bangladesh banan vul
";2;0;RN;funny_video
3594;"Vai joss hoisa pora r Jonny bangladeshir video gula osthir
";2;1;RN;funny_video
3597;"তুমি কি ৫৫% কোটা 😃😂😃😃
";1;-1;RN;funny_video
3603;"movie ta namamu
";1;0;RN;funny_video
3605;"Joss hoise😂😂😂
";2;1;RN;funny_video
3611;"yo xoss
";2;1;RN;funny_video
3616;"shei holo
";2;1;RN;funny_video
3618;"Haha
";2;1;EN;funny_video
3620;"last intro te jei song ta disen oitar link ta dea jabe please? :)
";1;0;EN;funny_video
3621;"kala jahangir to vice city ar
";1;0;EN;funny_video
3622;"I like it it's good 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍😀😊😁😊😀😁😊😀😁😊😀😁😊😀😁😂😄😃☺😇😆🙌🙋🙆😸😹😺😻😍😍😍😱
";2;1;RN;funny_video
3624;"Vai last ar music tar nam ki
";1;0;RN;funny_video
3624;"Vai last ar music tar nam ki
";2;0;RN;funny_video
3628;"Best dubbing yaar and Shuvho Noboborsho!
";1;1;EN;funny_video
3632;"boishakir binodon
";1;0;RN;funny_video
3634;"aj phon ta dhorar aga vabsilam bangla talkies jodi pohala boisakh nia akta video banato valoi hoto phon dhora 1st ai dakhi amar caoa puron hoa galo thanks
";2;1;RN;funny_video
3641;"xoss chilo vaia
";2;1;RN;funny_video
3641;"xoss chilo vaia
";1;1;RN;funny_video
