comment,label
"Still listening
",1
"Still listening
",2
"one of the best song I heard during my creative session. I really loved it during 2007 same as I do in 2017.
",2
"Welcome Tune Code Ta Bolben Plz
",1
"Great singer's awsm it <3
",2
"my first you tube comment !! song ta joss Arnob aro
",2
"Who's listening in 2017
",1
"Who is listening on 2017
",1
"i have afriend named arnob but he is a bad singer
",0
"bacground song name ta vule gechi
",1
"One of my fv
",2
"one of the great song in the history.
",2
"A song Remind me of clg life
",1
"A song Remind me of clg life
",1
"arnov the best song
",2
"one of my all time
",1
"Good Song
",2
"its 2018 and i still am.
",1
"yes really
",2
"metal version
",1
"metal version
",1
"onak nice song
",2
"nice so very nice song so u like this
",2
"babu khan
",1
"i love this take mone though he isn't my love. but song ta takei mone koray
",2
"i love this take mone though he isn't my love. but song ta takei mone koray
",2
"this is really exotic song
",2
"so whats is music wats wrong if its always has memories of past
",1
"I like it
",2
"I loved this song very
",2
"+Afi Noor oops sorry bro. i didn't noticed that month :p
",0
"nothing to say.
",1
"I LOVE u arno n ur song
",2
"What a song ! Every time when I am listening this song, I feel that I am listening at first
",2
"me too
",1
"This song is so awesome bolta gale guiterer song ta josss
",2
"awesome <3 <3 <3
",2
"Who listening on
",1
"15/02/2018 sad life
",0
"joss song
",2
"excellent
",2
"just love
",2
"just love
",2
"superbly
",2
"Different dimensional song
",2
"Rayhan Khan ok
",1
"Like if are listening it In 2016 ^_^ Such a great song
",2
"40 abal polapain dislike WTH Bulshit :/
",0
"u r really rock jst llike this song
",2
"moza pailam bro
",2
"your song made my day love your song since 2011
",2
"your song made my day love your song since 2011
",2
"Fantastic album! I'm thrilled to listen bengali music after a real long time
",2
"Please checkout our acoustic cover of Tonar Jonno in our channel. help us grow our channel by subscribing/sharing our video. Would mean the world to us :)
",1
"some songs never get old
",1
"may be tara ai song ar meaning bujha na duffer
",1
"Right bro (Arnob is my best singer)
",2
"Right bro (Arnob is my best singer)
",2
"30-08-2017  pm
",1
"Me too
",1
"what ever i said faria have no problem i dont know what kind problem you have son of the fucking looser only know negative comment on people go fuck your self
",0
"you are a such a iftekhar vhalo kotha bollae vhalo lage na . you showed ur no need to say
",0
"Excellent Song, My
",2
"ei gan ta jotobar e suni kokhono purono hoyna straight from the heart
",2
"love ths
",2
"osther song
",2
"arnob sobsomoy amar priyo singerder moddhe 1
",2
"arnob sobsomoy amar priyo singerder moddhe 1
",2
"Love this song
",2
"Can someone please translate?
",1
"Arnob rockz
",2
"brother you are very funny man
",2
"That is stainless steel NOT aluminium
",1
"Samsung rocks
",2
"Vai phoner bepare apnader onek kisui lack ase!!!!There are many things you mentioned about this phone is fake
",0
"Its pronounce Iphone 10* not X -MKBHD
",1
"May I get a how long I need to charge my iPhone 10 after unboxing ( for the first time)”
",1
"May I get a how long I need to charge my iPhone 10 after unboxing ( for the first time)”
",1
"Google pixel 2 review please
",1
"hmm goood
",2
"thank u tusher onek nice review
",2
"bhai kon country te gesila and gorilla bike ta awesome in
",2
"blackberry z10 first to implement gesture based os
",1
"Your reviews are hilarious and pretty legit; and that's a great combination. Continue the good work, brother. (Y)
",2
"great review. i like the funny way of representation
",2
"now iphone x price in bangladesh
",1
"now iphone x price in bangladesh
",1
"Mamuism iphone x er face ID hack kora jai
",1
"best roasting ever
",2
"Pixel 2 Review plz
",1
"Nokia 7 er review chaie
",1
"Vai Google pixel 2xl review hbeee
",1
"Vai Google pixel 2xl review hbeee
",1
"Mobile valo lagug r na lagug video deakle hasi must
",2
"huawei nova 2s review
",1
"Iphone 8+ is better than this fucking Iphone X XD
",2
"Mr mango ar dam 2৳
",1
"moto z force niye review chai
",1
"Vai doogee mix and mix2 mobile nia akta review den
",1
"joooos video
",2
"please note 8 review koren
",1
"bro which country was in pics?
",1
"Tushar bro is my favourite then emon
",2
"Vivo v7+
",2
"Oneplus 5t
",1
"atc xoss bro ..
",2
"Google pixel 2 er review chai ATC
",0
"Samsung Galaxy Note8 review
",1
"Samsung Galaxy Note8 review
",1
"samsung note 8 reviews lagba
",1
"kisu jinish give away dile joss hoto in bangladesh
",1
"Waiting for OPPO F5 Hands-On Review
",1
"Please oppo f5 review
",1
"plz plz plz plz plz plz plz plz plz plz plz plz plz plz plz plz price koto
",1
"One Plus 5T and Google Pixel 2 Review please :(
",2
"samsung galaxy s8 Review | Bangla chai
",1
"bro tomar review ar jonno onek wait korchi last tomar review pelam
",2
"Communication atc
",1
"ami 17000 baget good camara and betary kon pon ti valo hobe.
",1
"We love you tushar vai
",2
"Vivo y69 review
",1
"Vai nokai 1020 a review koro plzz plzz
",1
"Marattok hoise
",2
"Vai note 8 er review koren please
",1
"tushar vi is back hoho,,,,,
",2
"Vai thamen . Kidney te iPhone 7 pawa jeto. X na .
",0
"It records 4k videos at 60fps. Though everyone should know. Awesome review guys. Cheers!
",2
"iphone X isn't worth it of 1000$
",0
"Ishita mou fuck you baby
",0
"Best Review of 2017!! Welcome Back Tushar
",2
"hahaha :p
",2
"well enough! but isn't it too late? I had expectation we would get it earlier.
",1
"Mobile Editz akdom right
",2
"Welcome back tushar bhai
",2
"Best review bro
",2
"Best review bro
",2
"Vai iPhone 8 plus review
",1
"Now note 8 er review ta den bhai :)
",1
"not aluminium ,,,,, steel frame :v
",0
"not aluminium ,,,,, steel frame :v
",1
"Google pixzel 2 review den
",1
"just joss
",2
"Oppo F5 review
",1
"Hasin Raihan Are you a WWE fan? Me too.
",2
"Ifsad Shadhin No Bro Samsung Is The Creator Of The Dispaly.
",1
"excellent you also your voice tnQ talsh tem
",2
"Sunny leone xxx
",1
"bangladesh institute of marine technology theke institution student er life
",1
"Talas team great job
",2
"Food bank nea ekta koren please
",1
"I'm here for the memes.
",1
"There is a are so sure about people are so full of doubt
",0
"i love তালা্শ me nasir malaysia
",2
"At present crime increasing couldn't be preventing fully by general administration,I am honestly saying, in our country to prevent crime and criminal The Talash Team has a great number of ahead Talash Team we always with you.
",2
"vai you tube channel nie koren.
",1
"SHOB THEKE BORO CHOR HOLO FOOD BANK ER ADMIN
",0
"criminal and he doing job in bangladesh my god. take action against him. all are culprit. should action against him
",2
"thanks for this type of investigation.
",2
"vai agula kme somvob . copywriter disclaimer nay hubuhob video upload den kmne somvob ?
",0
"Part 3 comming soon Hope
",2
"Part 3 comming soon Hope
",1
"Mark was charged for that in senator last is actually are such a greedy ppl live in this country .you should advice all of your fan to report about this types of group.
",1
"Best one channel
",2
"Thank you so much brother. You didn't add that many commercial this time. Keep going.
",2
"480p?? why??
",0
"Thanks for the effort. You guys really rockssss.
",2
"loves for taslash
",2
"Get the fuck away from us mother godamn bulshit
",0
"am impressed truly on your work, keep it
",2
"lol. HAPPY?
",1
"cheap thrills
",2
"lovely song
",2
"Rafa-------- most underrated versatile artist of
",2
"Always love this
",2
"excellent singging
",2
"Worst quality of recording ! Rafa should take care of this !
",0
"rafa joss
",2
"hmmm shunlam Hmm hmm
",1
"Like IT
",2
"drums is in his DNA.
",2
"Avoid RAFA Love From Rajshahi
",2
"best song for me
",2
"take it he just make fun nothing closely T Shirt,which one rafa
",1
"arefin rumi to 2nd wife keo divorce dilo
",0
"wow what a nice song that is
",2
"Rafa You Are Really Awesome. Prottekta Gaan Tomar osomvob sundor hoy. Keep it up.
",2
"school life
",2
"REWAN AHMED RONY হকজ
",0
"K & me we love artcell
",2
"You can contact us through our Facebook. Thank You.
",1
"who watching 2017 august
",1
"Gaanchill Music
",1
"nice song☺☺☺☺☺☺
",2
"Onk BeaUtifull Akta Song. I like it so much.
",2
"117k likes and 23 view, wow
",2
"Very nice sonig n
",2
"ohh boss
",2
"I'm from kashmir n i don't understand bangla but music n voice is really fantastic
",2
"I like this song
",2
"It is more sweet and creepy than despacito and shape of you are boss
",2
"Great music video
",2
"love this song from my heart
",2
"from pakistan
",1
"2018 K Aso
",2
"23 million view !!!!! Bangladeshi director's should realize what kind of music ' music video , movie we Bangladeshi young generation like to watch hero alom shakib khan n zayed khan's cheap shit
",2
"wow awesome
",2
"Love ❤❤love this song
",2
"Height likes ever#114k this song in Bangladesh , just love it mind_blowing
",2
"Height likes ever#114k this song in Bangladesh , just love it mind_blowing
",2
"Height likes ever#114k this song in Bangladesh , just love it mind_blowing
",2
"minar for love you
",2
"minar for love you
",2
"like this song
",2
"22 m shei
",2
"awesome I like it
",2
"Shopper song
",2
"HOT VIDEO
",2
"still loved never gonna forget it
",2
"23M & 120k Likes Comeing Soon Inshaallah
",2
"Still my fav song
",2
"Still my fav song
",2
"Miner vai are you great
",2
"22M Views,111k Likes,Why unlike??????
",0
"who is watching 2018
",1
"who is watching 2018
",1
"love this song thanks
",1
"minar er voice tai loved it.
",2
"I destroyed the replay button
",0
"I love this song .It is my Favorit ♡♡♡♡♡♡♡♡♡♡♡
",2
"love ♥♥♥♥ miner
",2
"Arfin Shuvo By joioo
",2
"what a song love love love 100 kilo and also made in Chittagong
",2
"100 milion in 2019! music production is getting better day by day
",2
"100 milion in 2019! music production is getting better day by day
",2
"Outstanding song ,Minar
",2
"My fav song ,touched my heart
",2
"21 million vew
",1
"love from
",1
"Loving from Srilanka
",2
"Lets jhoommmm in lovely rain
",2
"It's ok u are from Pakistan?
",1
"love for moment this song I am apple khan minar rahman good singar good luck fuchar minar rahman
",2
"wow! what a song!!!!!
",2
"Welcome,,,
",2
"Very nice song
",2
"that's great
",2
"Inam Wazir do u understand the lyrics?
",1
"love you any
",2
"welcome bengali song 2crore views
",2
"Best song
",2
"wow nice song
",2
"nice song I love it
",2
"i love this song.
",2
"love you minar
",2
"DARON✌✌
",2
"anyone in 2018????
",1
"2016 te amar shuna shera gaan gulor ebong music ei duitar composition amar admission test er somoy CUET e jawar somoy train e ei gan ta onk bar awesome coz it makes me remember my remember all the beautiful memories with video taw oshadharon gan er sobceye emotional line ta hocche,""Tomar amar fele asha joto rongin molin smriti,lukiye obuj thikanay,ochin mon er ochin kono kon e bondi ajo ami vule shei pother shimana!"" coz whenever I listen this,I go back to my 1st relationship history in 2016 and everything appears before my eyes just like sweet this song too much.
",2
"nice minar
",2
"thnx for awsome song
",2
"congratz 20 million!
",2
"wow 20 million
",2
"wow, great. already crossed 20 first time I seen the song that was only 1k proud a die hard fan of minar.
",2
"20M congratulations
",2
"Lovely
",2
"congrachulatin ashfaq rana vai and all jhoom team
",2
"NYC song
",2
"From A Bangladeshi.
",1
"Lovely songs
",2
"advance congrats for 2M.
",2
"Just awesome
",2
"Just awesome
",2
"splendid
",2
"nice your
",2
"Just awesome minar
",2
"I loved Nepal and respect
",2
"This song is my along patner
",2
"Minar bro you're my hero
",2
"miner u beauty who like miner song
",2
"I can't believe this kind of song is created in Bangladesh
",2
"So nice song
",2
"Emtiaz Hossain hmm
",1
"Thanks for your comment. Please subscribe to our YouTube channel for more upcoming releases.
",2
"minar is a one pis
",2
"BAL do not have public support except police and bullet power only
",0
"Police and BAL working together
",1
"Ms. Nabonita seems to be a dump stupid. She talk too much as anchor.
",0
"salo tora hamla kora, student dar upon chapanor jonno try korbe na
",0
"Ok via
",1
"this is called
",1
"kota is Injustice of merit and out of correct this illegal process.
",1
"Noufal is fuck. Camcamyr koto big super star this noufal. Bea dob.
",0
"SHAME LESS .
",0
"I don't want to talk about Somi Kaiser as she is no one to talk about this important matter, she was just an actress, her father was someone, and I respect him. Excess power is not good. We did not like it 1952, not even today.
",1
"What is somi kaysar has no clue what the point of this Allah bless her
",0
"somi kaiser ki ball e r kotha bollo,,,,,,,,,,,,,,,they are real dalal in fact tar baba kokonoi freedom fighter chilo na,,,,,,
",0
"Nice of u as a child of freedom
",2
"is the slut and whore of
",0
"Foyej Ahmed teach are better than your slut mom who is your father? Then Reply me. I am promising you, I will help you to find your real It's must be a dog, pig or ass.
",1
"???????????????//?/
",1
"nice boss
",2
"ur deserve to become a prime salute u
",2
"absolutely
",2
"lovey by
",2
"Camera copy like iPhone x
",1
"Ok Good
",2
"Price ta jananor jonno prothom face lock ,colour availability and price niye valo kichu dekhlam
",2
"Price ta jananor jonno prothom face lock ,colour availability and price niye valo kichu dekhlam
",2
"Price ta jananor jonno prothom face lock ,colour availability and price niye valo kichu dekhlam
",2
"Price ta jananor jonno prothom face lock ,colour availability and price niye valo kichu dekhlam
",2
"beautiful phones
",2
"Oppo f5 or Redmi 5pro Konta nile best hobe Aktu janabe Advance Thanks
",1
"Note 5 Pro
",1
"Online shop
",1
"Online shop
",1
"best tech channel ever in ahead
",2
"best tech channel ever in ahead
",2
"best tech channel ever in ahead
",2
"best tech channel ever in ahead
",2
"good job! infact pretty awesome. smart presentation. go ahead ATC.
",2
"Nokia 6(2018) r Nokia 7 ar review chai.
",1
"Op is the best, waiting for Snapdragon 845
",2
"nokia 6 and nokia 8 review chaiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
",1
"ATC BOSS,,,, ATC RIVEW ROKSSS
",2
"slow motion video nai?
",1
"slow motion video nai?
",1
"sony xperia xa ultra review chai
",1
"Dear ATC, I'm requesting you to make a video about Oppo F5
",1
"oneplus 5t new video danann
",1
"Voice is bad, not clear
",0
"startup soundtrack name?
",1
"Need the review of Samsung Galaxy Note
",1
"iphone x review chai
",1
"I like your video guys keep it up
",2
"one pluse 5 is far better than I m using this two beasts but I have to say you are wrong if you're saying brand value than use nokia 1100 instead of nokai's battery performance is super what! about camera ! 1+5 's vedio stabilization is far better than now come come to look. I think no one will deny that 1+ premium look is very better study well to review something.
",2
"my mistake :p
",0
"Osadharon video ta as usual But spoiler alert er sothik babohar hoi ni, karon ota information spoilers impossible un noi Chomotkar editing r kichu halka rosikota atc k unique kore tole jao
",1
"Ekta comment kore 1k kore Nice bro
",2
"LG Q6 review and yess if you can upload a video about installing custom rom in any android phones with details, it will be so much helpful to me and who want custom rom besides you guys are don't miss any getting a trusted android solution channel.
",1
"vai note 8er review kobe hobe
",1
"Syed Sajib yes coming
",1
"vai amake ekta gift
",1
"Nice voice
",2
"I am in doubt which to choose, Nokia 8 or Huawei Mate 9 because here in my country the price is similar. Can you help me?
",1
"one plus 5 nimu
",1
"Great job
",2
"does the mi 6 still lack on software ?
",0
"Bai mi a1 niya 1ta video Dan but I hat phone love mi phone???
",1
"What about cooling system of nokia 8
",1
"Shuvo shekh At that compact price range I don't see the problem how Nokia 8 is like.
",2
"Shuvo shekh At that compact price range I don't see the problem how Nokia 8 is like.
",1
"Tnx for the video
",2
"Or Samsung folder 2
",1
"stock rom kivabe install korte vaia ektu janan ba kono best video link diye ektu help plz plz
",1
"where is was boring without tusher
",0
"Yes .. Need LG Q6 Review
",1
"Shariful Islam Nokia by HMD Global Oy is going well at this current rate. Put useful features and improvement of hardware rather than putting gimmicky features.
",0
"AMAZING
",2
"nokia 8 ki nokia store gulate available???
",1
"At unpossible
",0
"price ta plz?
",1
"price ta plz?
",1
"I phone x ar Review Lagby Phone asly
",1
"I phone x ar Review Lagby Phone asly
",1
"Need a review of LG V30.
",1
"How say invent any feature on your own
",1
"Micromax Dual 5 is best smartphone at this price
",2
"Micromax Dual 5 is best smartphone at this price
",2
"Bro .. Iphone 8 er video chai .. please
",1
"Vai xiaomi redmi 4x ki waterproof? Phone tar price koto? Plz keu help koren.
",1
"Nokia is boss
",2
"Slow motion nai?
",1
"review
",1
"nokia 3 review plz.
",1
"nokia 3 review plz.
",1
"10 games / apps / custom rom / customize nea vedio banaila vlo the way review ta joss laglo
",2
"Please want to see Galaxy note 8 Want to buy this phone but is it worth with price??? Please Support from Malaysia.
",2
"ATC Android ToTo Company please thank you so much.
",2
"Boss phone ✌
",2
"lg q6 ar review den
",2
"awesome it u✌✌✌
",2
"bro pro cpu +gpu +ram high,,, lag ker karon holo poor soft +rom optimized er karone, future e update asle fix hobe
",1
"konta 5 vs honor 8
",1
"LG Q6 REVIEW WANTED BADLY!!! include the price too please
",1
"Congrats on achieving the 100k milestone. I'm one of your oldest subs, 3k ish! Where are you guys from? All the best wishes for the journey ahead. :)
",2
"Congrats on achieving the 100k milestone. I'm one of your oldest subs, 3k ish! Where are you guys from? All the best wishes for the journey ahead. :)
",2
"Want review of Galaxy J7 pro@ATC
",1
"Want review of Galaxy J7 pro@ATC
",1
"who is save me now?
",1
"XXX NEW BANGLA202 1 t
",2
"8152024286 bangalore
",1
"Top Media News g
",1
"Top Media News tai
",1
"escort boy 8617251815
",0
"orko riad Oo
",1
"d Arif
",1
"Rijbi madarchut ekta
",0
"Who make him Education
",1
"at least listen to the speaker.
",2
"Coaching off korte hobe
",1
"amader school a ai somossa asa jodio school ta sorkari
",0
"Roxcer Ni loy r8
",2
"Samiya Hossain right
",2
"Ashraf Uddin i know but help korla khob basi khoti hoy na
",1
"Mental
",0
"he is right
",2
"Abul Mal also have to calculate how much does gov't MP's steals from the country.
",0
"terrorist.
",0
"chatroleg president look like terorist
",0
"Tui kida? Koi study koros?
",1
"Who the fuck will travel 30 hours. In flight only minutes
",1
"sylhet b. bai yes ame oo dakce
",1
"but girl ra koi ??
",1
"Nice report
",2
"Rohosso BD +96566031769
",1
"Dhaka become gta 5
",1
"Trying to get some extra income for better living . No reporter or government can give them any money for their family's .
",1
"Good ending to support good acting.
",2
"hi bro
",1
"it was lovely,,, love it
",2
"Amon golper khob josss u so akta golpo amader dear jonno
",2
"kisoy bolar kothai
",1
"background music is very emotional
",2
"hiv nice
",0
"I Love Afran Nishooo
",2
"cute love
",2
"woww so much sundor lglo
",2
"this is good
",2
"this is good
",2
"niso nice
",2
"Fantastic natok
",2
"WOW FANTASTIC
",2
"WOW FANTASTIC
",2
"Lovely ✌✌✌♥♥♥
",2
"Osadaron natok
",2
"excellent i love this
",2
"Natok ta onek Joss chilo
",1
"Natok ta onek Joss chilo
",2
"Excellent natok
",2
"wowsm boss
",2
"both leading
",2
"both leading
",2
"so beautiful natok
",2
"tisha tmr proti crush kheye pelsi
",2
"fantastic story & acting
",2
"Only Nisho (vai) love forever my bro
",2
"Ami Barristery porci university of london a Ty Engineering ,dr der theke amr ektu besi ohonkar
",1
"robot lamia
",1
"commerce ar caleder luck
",2
"Wow Life is nothing without love
",2
"I would be liked your drama story. But I will be logic and thanks
",2
"outstanding arokom subject related aro natok cai
",2
"baller
",0
"love u Boss
",2
"Nice movie
",2
"mind blowing.
",2
"mind blowing.
",2
"Make your presentation more
",1
"Hahah Youe Say Right
",2
"Sure ma'am of luck
",2
"Sure ma'am of luck
",2
"tnq Das :D
",2
"kutta da joss
",2
"Science*
",1
"Lovely natok
",2
"ami sience theke porechi. pore inter a arts,,,,, ekhn honors korchi political science niye
",1
"The ending was quite surprising .. Bhalo chilo❤️
",2
"bangladesh er natok gulo oshomvob poriman shundor up to u guys who r contributed with
",2
"Nothing bad!
",2
"RAKIB the Heart-throb ok boy
",2
"valo cilo rating: 7 out of 10
",2
"iubat natokar jonno campus may de vara
",2
"story , direction onek vlo laglo. unique
",2
